Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
149,07/19/2016,20,4,2,551,137,25,12,"['Kisch Yoav', 'Ohana Amir', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 551, 'Ohana Amir': 0, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 25, 'Stern Elazar': 0}",20_ptv_348501.json,
15,07/19/2016,20,5,2,1242,248,10,5,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ohana Amir', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 1190, 'Abu Maaruf Abdullah': 43, 'Ohana Amir': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 10, 'Folkman Roy': 9}",20_ptv_348503.json,
143,07/12/2016,20,6,0,5820,970,0,0,"['Kisch Yoav', 'Ohana Amir', 'Ilatov Robert', 'Ben Tzur Yoav', 'Zohar Miki', 'Folkman Roy']","{'Kisch Yoav': 4496, 'Ohana Amir': 0, 'Ilatov Robert': 171, 'Ben Tzur Yoav': 155, 'Zohar Miki': 0, 'Folkman Roy': 998}",20_ptv_348715.json,
157,07/26/2016,20,2,1,4256,2128,0,0,"['Kisch Yoav', 'Moalem-Refaeli Shuli', 'Folkman Roy']","{'Kisch Yoav': 3136, 'Moalem-Refaeli Shuli': 0, 'Folkman Roy': 1120}",20_ptv_348804.json,
158,07/27/2016,20,7,1,3813,544,0,0,"['Kisch Yoav', 'Ohana Amir', 'Ilatov Robert', 'Bitan David', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 3108, 'Ohana Amir': 58, 'Ilatov Robert': 0, 'Bitan David': 199, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0, 'Folkman Roy': 442, 'Stern Elazar': 6}",20_ptv_348805.json,
153,07/25/2016,20,9,2,3906,434,0,0,"['Kisch Yoav', 'Eichler Israel', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 2318, 'Eichler Israel': 433, 'Bitan David': 144, 'Ben Tzur Yoav': 10, 'Zohar Miki': 0, 'Hasson Yoel': 74, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 0, 'Neguise Avraham': 0, 'Folkman Roy': 168, 'Stern Elazar': 759}",20_ptv_348809.json,
154,07/25/2016,20,4,1,3941,985,0,0,"['Kisch Yoav', 'Bitan David', 'Moalem-Refaeli Shuli', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 3484, 'Bitan David': 7, 'Moalem-Refaeli Shuli': 0, 'Folkman Roy': 292, 'Stern Elazar': 158}",20_ptv_348810.json,
118,03/22/2016,20,6,0,5121,853,0,0,"['Bitan David', 'Tibi Ahmad', 'Neguise Avraham', 'Folkman Roy', 'Kisch Yoav', 'Stern Elazar']","{'Bitan David': 3321, 'Tibi Ahmad': 138, 'Neguise Avraham': 223, 'Folkman Roy': 691, 'Kisch Yoav': 679, 'Stern Elazar': 69}",20_ptv_349848.json,
147,07/18/2016,20,8,3,1606,200,217,72,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Zohar Miki', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 1378, 'Ohana Amir': 0, 'Eichler Israel': 172, 'Ilatov Robert': 6, 'Bitan David': 21, 'Zohar Miki': 0, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 194, 'Neguise Avraham': 11, 'Nahmias-Verbin Ayelet': 23, 'Folkman Roy': 18}",20_ptv_350087.json,
146,07/18/2016,20,4,1,4612,1153,1661,1661,"['Kisch Yoav', 'Ohana Amir', 'Ben Tzur Yoav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 4550, 'Ohana Amir': 0, 'Ben Tzur Yoav': 0, 'Neguise Avraham': 62, 'Nahmias-Verbin Ayelet': 1661}",20_ptv_350090.json,
159,08/01/2016,20,10,3,3949,394,1017,339,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Zohar Miki', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 3336, 'Ohana Amir': 1, 'Eichler Israel': 210, 'Ilatov Robert': 1, 'Bitan David': 94, 'Zohar Miki': 27, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 158, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 859, 'Folkman Roy': 3, 'Stern Elazar': 277}",20_ptv_350124.json,
161,08/02/2016,20,3,2,714,238,0,0,"['Kisch Yoav', 'Bitan David', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Folkman Roy']","{'Kisch Yoav': 704, 'Bitan David': 0, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 0, 'Folkman Roy': 10}",20_ptv_350125.json,
164,09/22/2016,20,1,0,110,110,0,0,"['Ben Tzur Yoav']","{'Ben Tzur Yoav': 110}",20_ptv_350129.json,
1,09/20/2016,20,5,4,2581,516,4197,1049,"['Abu Maaruf Abdullah', 'Eichler Israel', 'German Yael', 'Tibi Ahmad', 'Maklev Uri', 'Nahmias-Verbin Ayelet', 'Swid Revital', 'Saadi Osama', 'Rozin Michal']","{'Abu Maaruf Abdullah': 386, 'Eichler Israel': 374, 'German Yael': 644, 'Tibi Ahmad': 7, 'Maklev Uri': 800, 'Nahmias-Verbin Ayelet': 1173, 'Swid Revital': 1101, 'Saadi Osama': 1014, 'Rozin Michal': 1279}",20_ptv_350531.json,
165,10/31/2016,20,3,0,413,137,0,0,"['Kisch Yoav', 'Eichler Israel', 'Ilatov Robert']","{'Kisch Yoav': 388, 'Eichler Israel': 0, 'Ilatov Robert': 25}",20_ptv_350834.json,
166,11/01/2016,20,1,1,404,404,0,0,"['Kisch Yoav', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 404, 'Nahmias-Verbin Ayelet': 0}",20_ptv_361246.json,
169,11/09/2016,20,4,0,1358,339,0,0,"['Kisch Yoav', 'Bitan David', 'Hasson Yoel', 'Folkman Roy']","{'Kisch Yoav': 1116, 'Bitan David': 84, 'Hasson Yoel': 124, 'Folkman Roy': 34}",20_ptv_361719.json,
167,11/07/2016,20,10,3,2623,262,259,86,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 1246, 'Ohana Amir': 93, 'Eichler Israel': 0, 'Bitan David': 176, 'Ben Tzur Yoav': 7, 'Hasson Yoel': 0, 'Tibi Ahmad': 9, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 253, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 6, 'Folkman Roy': 158, 'Stern Elazar': 934}",20_ptv_361730.json,
3,11/15/2016,20,5,4,8752,1750,3052,763,"['Kisch Yoav', 'Slomiansky Nissan', 'Eichler Israel', 'Berko Anat', 'German Yael', 'Hasson Yoel', 'Swid Revital', 'Saadi Osama', 'Rozin Michal']","{'Kisch Yoav': 4963, 'Slomiansky Nissan': 1703, 'Eichler Israel': 0, 'Berko Anat': 46, 'German Yael': 1650, 'Hasson Yoel': 1954, 'Swid Revital': 1197, 'Saadi Osama': 132, 'Rozin Michal': 159}",20_ptv_362441.json,
17,11/16/2016,20,3,0,584,194,0,0,"['Kisch Yoav', 'Hasson Yoel', 'Stern Elazar']","{'Kisch Yoav': 568, 'Hasson Yoel': 4, 'Stern Elazar': 12}",20_ptv_362608.json,
2,11/01/2016,20,8,3,6854,856,436,145,"['Kisch Yoav', 'Slomiansky Nissan', 'Eichler Israel', 'Bitan David', 'Hasson Yoel', 'Maklev Uri', 'Nahmias-Verbin Ayelet', 'Swid Revital', 'Saadi Osama', 'Folkman Roy', 'Rozin Michal']","{'Kisch Yoav': 2296, 'Slomiansky Nissan': 946, 'Eichler Israel': 398, 'Bitan David': 23, 'Hasson Yoel': 1020, 'Maklev Uri': 524, 'Nahmias-Verbin Ayelet': 414, 'Swid Revital': 18, 'Saadi Osama': 1099, 'Folkman Roy': 548, 'Rozin Michal': 4}",20_ptv_362921.json,
177,12/05/2016,20,5,1,57,11,0,0,"['Kisch Yoav', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Moalem-Refaeli Shuli', 'Neguise Avraham']","{'Kisch Yoav': 50, 'Bitan David': 7, 'Ben Tzur Yoav': 0, 'Zohar Miki': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0}",20_ptv_364184.json,
176,12/05/2016,20,10,3,3281,328,769,256,"['Kisch Yoav', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Hasson Yoel', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 1044, 'Eichler Israel': 0, 'Ilatov Robert': 3, 'Bitan David': 616, 'Ben Tzur Yoav': 0, 'Zohar Miki': 293, 'Hasson Yoel': 676, 'Tibi Ahmad': 435, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 245, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 524, 'Folkman Roy': 214}",20_ptv_364192.json,
174,12/05/2016,20,4,1,296,74,0,0,"['Kisch Yoav', 'Ohana Amir', 'Bitan David', 'Moalem-Refaeli Shuli', 'Folkman Roy']","{'Kisch Yoav': 257, 'Ohana Amir': 0, 'Bitan David': 38, 'Moalem-Refaeli Shuli': 0, 'Folkman Roy': 1}",20_ptv_364206.json,
175,12/05/2016,20,6,3,262,43,6,2,"['Kisch Yoav', 'Ohana Amir', 'Ilatov Robert', 'Bitan David', 'Zohar Miki', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 257, 'Ohana Amir': 0, 'Ilatov Robert': 0, 'Bitan David': 5, 'Zohar Miki': 0, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 6, 'Nahmias-Verbin Ayelet': 0, 'Folkman Roy': 0}",20_ptv_364209.json,
173,11/28/2016,20,3,0,1217,405,0,0,"['Kisch Yoav', 'Ben Tzur Yoav', 'Folkman Roy']","{'Kisch Yoav': 1092, 'Ben Tzur Yoav': 59, 'Folkman Roy': 66}",20_ptv_364225.json,
172,11/21/2016,20,8,1,790,98,10,10,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Hasson Yoel', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 168, 'Ilatov Robert': 0, 'Bitan David': 0, 'Ben Tzur Yoav': 0, 'Zohar Miki': 7, 'Hasson Yoel': 607, 'Nahmias-Verbin Ayelet': 10, 'Folkman Roy': 8, 'Stern Elazar': 0}",20_ptv_364460.json,
171,11/21/2016,20,12,2,3687,307,318,159,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Hasson Yoel', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 1524, 'Ohana Amir': 16, 'Eichler Israel': 1, 'Ilatov Robert': 8, 'Bitan David': 482, 'Ben Tzur Yoav': 134, 'Zohar Miki': 71, 'Hasson Yoel': 788, 'Tibi Ahmad': 330, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 318, 'Folkman Roy': 1, 'Stern Elazar': 332}",20_ptv_364581.json,
196,12/21/2016,20,5,2,300,60,152,76,"['Kisch Yoav', 'Ohana Amir', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 264, 'Ohana Amir': 32, 'Hasson Yoel': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 152, 'Stern Elazar': 4}",20_ptv_364832.json,
182,12/14/2016,20,9,1,2617,290,379,379,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Tibi Ahmad', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 1481, 'Abu Maaruf Abdullah': 28, 'Ilatov Robert': 0, 'Bitan David': 450, 'Ben Tzur Yoav': 9, 'Zohar Miki': 190, 'Tibi Ahmad': 62, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 379, 'Stern Elazar': 397}",20_ptv_365194.json,
19,12/19/2016,20,11,3,4067,369,692,230,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Zohar Miki', 'Hasson Yoel', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 2369, 'Ohana Amir': 357, 'Eichler Israel': 0, 'Ilatov Robert': 420, 'Bitan David': 244, 'Zohar Miki': 0, 'Hasson Yoel': 283, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 92, 'Neguise Avraham': 105, 'Nahmias-Verbin Ayelet': 600, 'Folkman Roy': 0, 'Stern Elazar': 289}",20_ptv_365196.json,
192,12/19/2016,20,5,1,540,108,57,57,"['Bitan David', 'Abu Maaruf Abdullah', 'Zohar Miki', 'Michaeli Merav', 'Folkman Roy', 'Stern Elazar']","{'Bitan David': 509, 'Abu Maaruf Abdullah': 0, 'Zohar Miki': 0, 'Michaeli Merav': 57, 'Folkman Roy': 0, 'Stern Elazar': 31}",20_ptv_365197.json,
193,12/19/2016,20,2,0,141,70,0,0,"['Bitan David', 'Folkman Roy']","{'Bitan David': 141, 'Folkman Roy': 0}",20_ptv_365198.json,
195,12/21/2016,20,10,3,4953,495,522,174,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Amsalem David', 'Bitan David', 'Zohar Miki', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 2890, 'Ohana Amir': 145, 'Eichler Israel': 222, 'Amsalem David': 175, 'Bitan David': 306, 'Zohar Miki': 238, 'Hasson Yoel': 369, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 158, 'Neguise Avraham': 135, 'Nahmias-Verbin Ayelet': 364, 'Folkman Roy': 234, 'Stern Elazar': 239}",20_ptv_365199.json,
181,12/12/2016,20,4,1,3088,772,138,138,"['Kisch Yoav', 'Ohana Amir', 'Ilatov Robert', 'Hasson Yoel', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 1735, 'Ohana Amir': 96, 'Ilatov Robert': 8, 'Hasson Yoel': 1249, 'Nahmias-Verbin Ayelet': 138}",20_ptv_365212.json,
199,12/28/2016,20,5,1,3233,646,559,559,"['Kisch Yoav', 'Bitan David', 'Zohar Miki', 'Tibi Ahmad', 'Michaeli Merav', 'Folkman Roy']","{'Kisch Yoav': 1892, 'Bitan David': 1163, 'Zohar Miki': 0, 'Tibi Ahmad': 0, 'Michaeli Merav': 559, 'Folkman Roy': 178}",20_ptv_365479.json,
2,12/28/2016,20,1,1,22,22,0,0,"['Kisch Yoav', 'Michaeli Merav']","{'Kisch Yoav': 22, 'Michaeli Merav': 0}",20_ptv_365480.json,
179,12/06/2016,20,3,2,2076,692,351,175,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Eichler Israel', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 780, 'Abu Maaruf Abdullah': 349, 'Eichler Israel': 947, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 351}",20_ptv_365565.json,
6,12/07/2016,20,2,2,1096,548,1000,500,"['Kisch Yoav', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Folkman Roy']","{'Kisch Yoav': 1096, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 1000, 'Folkman Roy': 0}",20_ptv_365566.json,
197,12/22/2016,20,4,1,927,231,0,0,"['Kisch Yoav', 'Ohana Amir', 'Bitan David', 'Moalem-Refaeli Shuli', 'Neguise Avraham']","{'Kisch Yoav': 846, 'Ohana Amir': 9, 'Bitan David': 72, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0}",20_ptv_365960.json,
178,12/06/2016,20,2,2,712,356,465,232,"['Kisch Yoav', 'Nahmias-Verbin Ayelet', 'Abu Maaruf Abdullah', 'Moalem-Refaeli Shuli']","{'Kisch Yoav': 522, 'Nahmias-Verbin Ayelet': 465, 'Abu Maaruf Abdullah': 190, 'Moalem-Refaeli Shuli': 0}",20_ptv_366022.json,
18,12/07/2016,20,6,2,1101,183,0,0,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Folkman Roy']","{'Kisch Yoav': 733, 'Ilatov Robert': 209, 'Bitan David': 144, 'Ben Tzur Yoav': 0, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 0, 'Folkman Roy': 15}",20_ptv_366025.json,
183,12/14/2016,20,2,0,121,60,0,0,"['Kisch Yoav', 'Abu Maaruf Abdullah']","{'Kisch Yoav': 121, 'Abu Maaruf Abdullah': 0}",20_ptv_366075.json,
198,12/26/2016,20,7,3,6788,969,1143,381,"['Kisch Yoav', 'Ohana Amir', 'Amsalem David', 'Bitan David', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 2990, 'Ohana Amir': 37, 'Amsalem David': 1494, 'Bitan David': 49, 'Hasson Yoel': 1578, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 1143, 'Stern Elazar': 640}",20_ptv_366078.json,
4,01/02/2017,20,7,2,5130,732,845,422,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Eichler Israel', 'Ilatov Robert', 'German Yael', 'Hasson Yoel', 'Nahmias-Verbin Ayelet', 'Saadi Osama', 'Folkman Roy']","{'Kisch Yoav': 3834, 'Abu Maaruf Abdullah': 22, 'Eichler Israel': 63, 'Ilatov Robert': 0, 'German Yael': 463, 'Hasson Yoel': 710, 'Nahmias-Verbin Ayelet': 382, 'Saadi Osama': 215, 'Folkman Roy': 286}",20_ptv_366085.json,
21,01/02/2017,20,1,1,90,90,0,0,"['Kisch Yoav', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 90, 'Nahmias-Verbin Ayelet': 0}",20_ptv_366087.json,
16,08/01/2016,20,2,0,278,139,0,0,"['Kisch Yoav', 'Ilatov Robert']","{'Kisch Yoav': 277, 'Ilatov Robert': 1}",20_ptv_366390.json,
23,01/09/2017,20,5,1,1924,384,0,0,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ohana Amir', 'Ilatov Robert', 'Hasson Yoel', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 1593, 'Abu Maaruf Abdullah': 116, 'Ohana Amir': 37, 'Ilatov Robert': 0, 'Hasson Yoel': 178, 'Nahmias-Verbin Ayelet': 0}",20_ptv_366406.json,
26,01/16/2017,20,3,1,593,197,307,307,"['Kisch Yoav', 'Ohana Amir', 'Neguise Avraham', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 530, 'Ohana Amir': 60, 'Neguise Avraham': 3, 'Nahmias-Verbin Ayelet': 307}",20_ptv_366697.json,
22,01/02/2017,20,5,0,99,19,0,0,"['Kisch Yoav', 'Ohana Amir', 'Hasson Yoel', 'Cohen Eli', 'Folkman Roy']","{'Kisch Yoav': 85, 'Ohana Amir': 0, 'Hasson Yoel': 0, 'Cohen Eli': 14, 'Folkman Roy': 0}",20_ptv_366736.json,
191,12/19/2016,20,7,0,255,36,0,0,"['Kisch Yoav', 'Ohana Amir', 'Amsalem David', 'Zohar Miki', 'Neguise Avraham', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 219, 'Ohana Amir': 0, 'Amsalem David': 4, 'Zohar Miki': 32, 'Neguise Avraham': 0, 'Folkman Roy': 0, 'Stern Elazar': 0}",20_ptv_366846.json,
5,01/04/2017,20,4,1,6787,1696,344,344,"['Kisch Yoav', 'Ilatov Robert', 'German Yael', 'Hasson Yoel', 'Maklev Uri']","{'Kisch Yoav': 4915, 'Ilatov Robert': 30, 'German Yael': 344, 'Hasson Yoel': 1737, 'Maklev Uri': 105}",20_ptv_367387.json,
6,01/11/2017,20,6,2,1817,302,724,362,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Bitan David', 'German Yael', 'Hasson Yoel', 'Maklev Uri', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 1442, 'Abu Maaruf Abdullah': 0, 'Bitan David': 101, 'German Yael': 140, 'Hasson Yoel': 213, 'Maklev Uri': 61, 'Nahmias-Verbin Ayelet': 584, 'Folkman Roy': 0}",20_ptv_367404.json,
27,01/18/2017,20,2,0,146,73,0,0,"['Kisch Yoav', 'Neguise Avraham']","{'Kisch Yoav': 146, 'Neguise Avraham': 0}",20_ptv_367409.json,
29,01/23/2017,20,4,0,55,13,0,0,"['Kisch Yoav', 'Eichler Israel', 'Ben Tzur Yoav', 'Folkman Roy']","{'Kisch Yoav': 0, 'Eichler Israel': 0, 'Ben Tzur Yoav': 0, 'Folkman Roy': 55}",20_ptv_367411.json,
5,12/07/2016,20,4,2,1374,343,0,0,"['Kisch Yoav', 'Tibi Ahmad', 'Trajtenberg Manuel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Folkman Roy']","{'Kisch Yoav': 1003, 'Tibi Ahmad': 0, 'Trajtenberg Manuel': 371, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 0, 'Folkman Roy': 0}",20_ptv_367455.json,
168,11/07/2016,20,8,2,3582,447,0,0,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ohana Amir', 'Bitan David', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 3052, 'Abu Maaruf Abdullah': 11, 'Ohana Amir': 0, 'Bitan David': 163, 'Hasson Yoel': 92, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 0, 'Neguise Avraham': 14, 'Folkman Roy': 89, 'Stern Elazar': 161}",20_ptv_367475.json,
28,01/23/2017,20,3,0,295,98,0,0,"['Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel']","{'Bitan David': 290, 'Ben Tzur Yoav': 0, 'Hasson Yoel': 5}",20_ptv_367823.json,
21,01/23/2017,20,3,2,314,104,172,86,"['Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Michaeli Merav', 'Nahmias-Verbin Ayelet']","{'Bitan David': 205, 'Ben Tzur Yoav': 0, 'Hasson Yoel': 109, 'Michaeli Merav': 140, 'Nahmias-Verbin Ayelet': 32}",20_ptv_367824.json,
25,01/16/2017,20,9,2,142,15,0,0,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 142, 'Abu Maaruf Abdullah': 0, 'Ilatov Robert': 0, 'Bitan David': 0, 'Ben Tzur Yoav': 0, 'Hasson Yoel': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 0, 'Folkman Roy': 0, 'Stern Elazar': 0}",20_ptv_367925.json,
217,02/08/2017,20,4,1,840,210,0,0,"['Kisch Yoav', 'Ohana Amir', 'Ilatov Robert', 'Tibi Ahmad', 'Moalem-Refaeli Shuli']","{'Kisch Yoav': 830, 'Ohana Amir': 0, 'Ilatov Robert': 10, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0}",20_ptv_368873.json,
218,02/08/2017,20,3,1,82,27,0,0,"['Kisch Yoav', 'Ohana Amir', 'Tibi Ahmad', 'Moalem-Refaeli Shuli']","{'Kisch Yoav': 80, 'Ohana Amir': 0, 'Tibi Ahmad': 2, 'Moalem-Refaeli Shuli': 0}",20_ptv_368874.json,
22,02/15/2017,20,1,0,518,518,0,0,"['Kisch Yoav']","{'Kisch Yoav': 518}",20_ptv_368879.json,
212,01/30/2017,20,9,4,2164,240,1206,301,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Elharrar Karin', 'Eichler Israel', 'Amsalem David', 'Bitan David', 'Ben Tzur Yoav', 'Glick Yehuda Joshua', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 1398, 'Abu Maaruf Abdullah': 25, 'Elharrar Karin': 217, 'Eichler Israel': 50, 'Amsalem David': 134, 'Bitan David': 414, 'Ben Tzur Yoav': 0, 'Glick Yehuda Joshua': 143, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 731, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 258, 'Folkman Roy': 0}",20_ptv_368973.json,
213,01/30/2017,20,3,1,79,26,0,0,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Moalem-Refaeli Shuli', 'Neguise Avraham']","{'Kisch Yoav': 79, 'Abu Maaruf Abdullah': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0}",20_ptv_368984.json,
24,01/16/2017,20,9,2,3714,412,123,61,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 2407, 'Abu Maaruf Abdullah': 6, 'Ilatov Robert': 0, 'Bitan David': 501, 'Ben Tzur Yoav': 0, 'Hasson Yoel': 622, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 123, 'Folkman Roy': 0, 'Stern Elazar': 178}",20_ptv_369364.json,
